collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
16 184,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504459550447.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504459550447.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504459550447.jpg
16 193,Je ne sais pas,,,,Je ne sais pas,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504470482710.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504470482710.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504470482710.jpg
16 200,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504512643429.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504512643429.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504512643429.jpg
16 203,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504526943235.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504526943235.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504526943235.jpg
16 229,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504639378613.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504639378613.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504639378613.jpg
16 233,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1504766378468.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504766378468.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1504766378468.jpg
16 283,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108028437.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108028437.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108028437.jpg
16 284,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108396615.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108396615.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505108396615.jpg
16 311,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505289550340.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505289550340.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505289550340.jpg
16 321,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505328097107.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505328097107.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505328097107.jpg
16 333,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506350562034.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506350562034.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506350562034.jpg
16 334,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505410905358.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505410905358.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505410905358.jpg
16 340,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505482122057.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505482122057.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505482122057.jpg
16 364,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505625771668.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505625771668.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505625771668.jpg
16 378,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506159902779.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506159902779.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506159902779.jpg
16 380,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505723025769.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505723025769.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505723025769.jpg
16 387,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505746726069.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505746726069.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505746726069.jpg
16 413,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505841521989.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505841521989.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505841521989.jpg
