collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
8 666,Plante inconnue,Ericaceae,Arbutus,Arbutus unedo,,Actinidia,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527793634878.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527793634878.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527793634878.jpg
8 671,Plante inconnue,Asteraceae,Carlina,Carlina hispanica,,cornouiller sanguin,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527796486829.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527796486829.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527796486829.jpg
8 680,Plante inconnue,Asteraceae,Symphyotrichum,Symphyotrichum ericoides,,Ravenelle (Raphanus raphanistrum),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527839903617.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527839903617.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527839903617.jpg
8 683,Plante inconnue,Lamiaceae,Clinopodium,Clinopodium grandiflorum,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527843032227.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527843032227.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527843032227.jpg
8 686,Plante inconnue,Lamiaceae,Galeopsis,Galeopsis angustifolia,,Oenanthe safranée (Oenanthe crocata),0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527853096868.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527853096868.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527853096868.jpg
8 690,Plante inconnue,Plantaginaceae,Plantago,Plantago argentea,,persil,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527860037095.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527860037095.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527860037095.jpg
8 691,Plante inconnue,Orobanchaceae,Lathraea,Lathraea clandestina,,Erigeron,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527861054601.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527861054601.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527861054601.jpg
8 698,Plante inconnue,Brassicaceae,Lepidium,Lepidium squamatum,,oreille d'ours,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527880324147.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527880324147.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527880324147.jpg
8 702,Plante inconnue,Hypericaceae,Hypericum,Hypericum forrestii,,oenanthe safranée,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527890890385.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527890890385.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527890890385.jpg
8 707,Plante inconnue,Brassicaceae,Raphanus,Raphanus raphanistrum,,Pavot de Californie - Eschscholtzia californica,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527936777335.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527936777335.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527936777335.jpg
8 711,,Rosaceae,Rubus,Rubus multifidus,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527947790264.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527947790264.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527947790264.jpg
8 727,Plante inconnue,Caryophyllaceae,Stellaria,Stellaria media,,linum perenne,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527967026492.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527967026492.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527967026492.jpg
8 732,Plante inconnue,Rubiaceae,Sherardia,Sherardia arvensis,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969124847.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969124847.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969124847.jpg
8 733,Plante inconnue,Rubiaceae,Galium,Galium aparine,,Geranium sp,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969172625.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969172625.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527969172625.jpg
