Unknown
Eriothrix rufomaculatus
Eristalinus sepulchralis
Oecanthus pellucens
Volucella inanis
Polyommatus
Stictoleptura fulva
Zygaena filipendulae
Zygaena carniolica
Solieria pacifica
Empis ciliata
Arge cyanocrocea
Pterotmetus staphyliniformis
Clairvillia biguttata
Physiphora alceae
Miridius quadrivirgatus
Protocalliphora azurea
Gasteruption hastator
Cheilosia illustrata
Cylindromyia auriceps
Athalia
Arge pagana
Cupido argiades
Pleuroptya ruralis
Aricia agestis
Idaea aureolaria
Vespula rufa
Eumerus funeralis
Leucospis dorsigera
Cremnops desertor
Mordellistena neuwaldeggiana
Cryptocheilus versicolor
Pipiza noctiluca
Synanthedon vespiformis
Exochomus quadripustulatus
Peleteria rubescens
Colias croceus
Stictopleurus punctatonervosus
Leskia aurea
Parhelophilus versicolor
Excavarus apiarius
Lepturobosca virens
Anthophila fabriciana
Boloria dia
Hemyda vittata
Abia fasciata
Thecla betulae
Scolia hirta
Dasysyrphus albostriatus
Brachygaster minuta
Satyrium spini
Pipiza festiva
Tachina magnicornis
Physocephala vittata
Xestia sexstrigata
Epistrophe diaphana
Ichneumon sarcitorius
Pachyprotasis rapae
Hoplodrina
Tropidia scita
Pentatoma rufipes
Aphodius foetidus
Limnophora obsignata
Phaonia rufiventris
Glaucopsyche melanops
Tettigonia viridissima
Plutella xylostella
Asteia amoena
Drosophila suzukii
Eupeodes corollae
Hipparchia fidia
Mutilla europaea
Eudasyphora cyanella
Thaumatomyia notata
Kirbya moerens
Papilio hospiton
Cydia ulicetana
Suillia variegata
Dascillus cervinus
Zygaena rhadamanthus
Myopa tessellatipennis
Ptinomorphus imperialis
Anthocharis euphenoides
Stenodema laevigata
Carpocoris
Anasimyia lineata
Cacoecimorpha pronubana
Scolitantides orion
Acmaeodera pilosellae
Mintho rufiventris
Horvathiolus superbus
Anthophora retusa retusa
Glyphipterix fuscoviridella
Conops vesicularis
Empis punctata
Ancyrosoma leucogrammes
Dolichosoma lineare
Chetoptilia puella
Calocoris nemoralis
Diachromus germanus
Clytus arietis
Dorycera graminum
Maculinea nausithous
Tachina praeceps
Ceratistes dentifrons
Cantharis pellucida
Eysarcoris venustissimus
Pyronia bathseba
Sicus ferrugineus
Volucella bombylans var. bombylans
Gastrolepta anthracina
Dasytes virens
Ptosima undecimmaculata
Scymnus auritus
Eurrhypara hortulata
Villa hottentotta
Thymelicus sylvestris
Sitochroa palealis
Satyrium w-album
Chorosoma schillingii
Euphydryas cynthia
Carpocoris purpureipennis
Synanthedon formicaeformis
Lithosia quadra
Sapyga quinquepunctata
Phasia aurigera
Notostira erratica
Hipparchia statilinus
Merodon trochantericus
Oxycarenus pallens
Phyllotreta vittula
Phasia hemiptera
Hipparchia semele
Anaspis flava
Eumedonia eumedon
Pipiza austriaca
Pyrausta purpuralis
Cheilosia scutellata
Stictocephala bisonia
Brachymeria walkeri
Stenoria analis
Neocrepidodera transversa
Agriphila selasella
Hauptidia provincialis
Milesia semiluctifera
Apion frumentarium
Angerona prunaria
Myrmus miriformis
Anthicus antherinus
Euscelis incisus
Dasytes caeruleus
Norellisoma spinimanum
Involvulus caeruleus
Eurydema ornata
Eristalis pertinax
Cheilosia soror
Altica oleracea
Zerynthia rumina
Bruchus luteicornis
Cauchas rufimitrella
Cheilosia impressa
Hilara maura
Paederus littoralis
Nematinae
Pyrrhosoma nymphula
Cheilosia ranunculi
Attalus cyaneus
Tenthredo notha
Glyphipterix
Scythris limbella
Calambus bipustulatus
Timandra comae
Melanargia occitanica
Zygaena fausta
Odontotarsus robustus
Dysauxes punctata
Oedemera barbara
Chrysanthia viridissima
Stenurella bifasciata
Oedemera atrata
Enolmis acanthella
Issus coleoptratus
Lachnaia
Carpocoris pudicus
Besseria dimidiata
Graptostethus servus
Odynerus melanocephalus
Satyrium pruni
Chrysura cuprea
Clytus rhamni
Satyrium esculi
Deraeocoris punctum
Lysandra hispana
Euchloë crameri
Anaspis quadrimaculata
Cylindromyia brassicaria
Clytiomya continua
Homoeosoma sinuella
Zonitis immaculata
Dexia rustica
Mordellistena variegata
Criorhina berberina
Cantharis cryptica
Discomyza incurva
Horvathiolus
Ectobius vinzi
Amata
Thymelicus acteon
Chrysopilus asiliformis
Pyropteron meriaeformis
Cteniopus sulphureus
Miltogramma
Coenonympha corinna
Danaus chrysippus
Pammene aurana
Gymnosoma rotundatum
Chrysotoxum festivum
Aporus unicolor
Ascogaster
Nudaria mundana
Cheilosia caerulescens
Demoticus plebejus
Endotricha flammealis
Trachys minutus
