insecte_fr,longitude,latitude,annee_collection
Le Frelon asiatique,48.840296,2.318376,2019
Le Frelon asiatique,44.849311111111,-0.57646388888889,2019
Le Frelon asiatique,45.002002777778,1.0255805555556,2019
Le Frelon asiatique,48.019447222222,-1.6470888888889,2019
Le Frelon asiatique,48.091838888889,-1.6744333333333,2019
Le Frelon asiatique,45.656275,0.980230555555564,2019
Le Frelon asiatique,48.210980555556,-1.70315,2019
Le Frelon européen,45.055386111111,4.5102194444444,2019
Le Frelon européen,44.711347222222,4.5678972222222,2019
Le Frelon européen,44.277566666667,3.8081777777778,2019
Le Frelon asiatique,44.725691666667,-0.54228055555556,2019
Le Frelon asiatique,44.187766,3.93473399999999,2019
Le Frelon asiatique,48.79115327363396,2.388051152229309,2019
Le Frelon européen,47.276324712846225,2.2383946180343632,2019
Le Frelon européen,47.225193320296015,2.3671889305114746,2019
Le Frelon européen,49.02665368880049,1.8943262100219729,2019
Le Frelon européen,45.347319655945526,5.087948770906352,2019
Le Frelon européen,47.51690361421426,7.382125780553894,2019
Le Frelon asiatique,45.00194808594632,1.024303434234133,2019
Le Frelon asiatique,45.00196325829389,1.0243034504944462,2019
Le Frelon asiatique,47.11160713044339,-2.1013216674327855,2019
Le Frelon asiatique,49.02646550266936,1.8941438198089602,2019
Le Frelon asiatique,48.18523805376995,-1.6364800930023196,2019
Le Frelon asiatique,45.00195394805202,1.0243141651153567,2019
Le Frelon asiatique,43.14344668115993,5.981943011283875,2019
Le Frelon européen,48.212080475315844,-1.700936257839203,2019
Le Frelon asiatique,43.669382,7.053135,2019
Le Frelon européen,45.78343896492783,4.8533351719379425,2019
Le Frelon asiatique,45.00194487479363,1.0243042671897176,2019
Le Frelon européen,48.214650631290255,-1.692999601364136,2019
Le Frelon européen,47.10830412684544,2.2547226927373125,2019
Le Frelon européen,44.19690524211665,3.9344762396549853,2019
Le Frelon asiatique,44.98485009049568,1.0502730675585294,2019
Le Frelon européen,45.775825984943545,4.857442975044251,2019
Le Frelon européen,44.568295,2.254033,2019
Le Frelon européen,47.10797917780043,2.2630370865789655,2019
Le Frelon asiatique,45.00173440831072,1.024807636644556,2019
Le Frelon européen,45.38507267871724,5.159383275271825,2019
Le Frelon européen,43.28897548308564,5.861586928367616,2019
Le Frelon européen,48.01871419543037,-1.6454172134399416,2019
Le Frelon européen,48.01884695843731,-1.6443711519241335,2019
Le Frelon asiatique,44.99954211172797,1.0246612191935522,2019
Le Frelon européen,48.877985286748334,2.103415131568909,2019
Le Frelon asiatique,48.11423119426347,-1.666691154241562,2019
Le Frelon asiatique,43.13899568094715,5.768229961395264,2019
Le Frelon européen,48.184672949590485,-1.637263298034668,2019
Le Frelon européen,48.871499541319785,2.0994374155998234,2019
Le Frelon asiatique,44.711486209974616,4.567778484804644,2019
Le Frelon européen,48.018703430847275,-1.6454279422760012,2019
Le Frelon européen,48.21364975139409,-1.694649159908295,2019
Le Frelon européen,48.86686735942351,2.092627286911011,2019
Le Frelon européen,45.001864637962925,1.0250276414699135,2019
Le Frelon européen,45.001864637962925,1.025016912633854,2019
Le Frelon européen,48.86686383065071,2.0925682783126835,2019
Le Frelon asiatique,48.87470767798212,2.0924261212348942,2019
Le Frelon européen,48.87470767798212,2.0924261212348942,2019
Le Frelon asiatique,45.79796569936873,4.956877827644349,2019
Le Frelon européen,49.02395042344414,1.8913382291793825,2019
Le Frelon européen,47.63330380314443,7.564133747443673,2019
Le Frelon européen,45.05550418308019,4.505301288634978,2019
Le Frelon asiatique,48.87470414976228,2.092482447624207,2019
Le Frelon asiatique,48.87472179085913,2.0924180746078496,2019
Le Frelon européen,48.87472179085913,2.0924180746078496,2019
Le Frelon asiatique,45.65626542924285,0.9802077155256452,2019
Le Frelon européen,48.0181544341281,-1.66418194770813,2019
Le Frelon européen,47.3089238552708,5.891848887927736,2019
Le Frelon européen,43.16496025319331,5.605983138084412,2019
Le Frelon asiatique,48.89901120593226,2.0956420898437504,2019
Le Frelon asiatique,44.711423307502024,4.567606140179552,2019
Le Frelon européen,44.015850089018905,4.4130921363830575,2019
Le Frelon asiatique,49.074582783227065,1.5305328369140625,2019
Le Frelon asiatique,48.12421197993535,-1.6721454262733462,2019
Le Frelon européen,48.12421197993535,-1.6721454262733462,2019
Le Frelon asiatique,45.00192195579537,1.0242277381100042,2019
Le Frelon asiatique,48.12512329700769,-1.6724324226379397,2019
Le Frelon européen,44.711507177450294,4.567600689712235,2019
Le Frelon asiatique,48.15084920389885,-1.6797207721311083,2019
Le Frelon européen,45.05550797262005,4.50532795451808,2019
Le Frelon asiatique,45.00192026992679,1.0242122252028854,2019
Le Frelon européen,44.59957008119333,2.4013347951703694,2019
Le Frelon européen,44.711577704358156,4.567368770143965,2019
Le Frelon européen,45.39136616679079,5.166730491442526,2019
Le Frelon asiatique,48.8869984854001,2.3310947320616786,2019
Le Frelon européen,47.62122490403317,7.559471068582424,2019
Le Frelon européen,45.385005803112165,5.159510005593982,2019
Le Frelon européen,44.709625792804815,4.569246332463544,2019
Le Frelon européen,44.71141949522875,4.567496170692396,2019
Le Frelon asiatique,48.21334233435572,-1.6986241936683657,2019
Le Frelon asiatique,48.21342097609935,-1.6912078857421877,2019
Le Frelon asiatique,48.21336825039821,-1.698964834213257,2019
Le Frelon asiatique,43.57631816213746,3.8172930540721954,2019
Le Frelon européen,43.57631816213746,3.8172930540721954,2019
Le Frelon asiatique,43.55460154919298,3.7815634047355755,2019
Le Frelon asiatique,45.77673890525762,4.854760766029359,2019
